PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
105127;2010;4132;16,50;;;10,00;;;;;3,00;;;;;3,00;;;;;;;0,50
267255;2010;4133;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;2,00;;;0,50
250482;2010;4134;16,50;;;;;;;;3,00;;;;;8,00;;;5,00;;;;0,50
278180;2010;4135;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;2,00;;;0,50
275561;2010;4136;16,50;;;;;;;;;6,00;;;10,00;;;;;;;;0,50
258673;2010;4137;16,50;;;;;;;;;6,00;;;;3,00;;;7,00;;;;0,50
210913;2010;4138;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
241932;2010;4139;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
253259;2010;4140;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
132920;2007;4141;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
251527;2010;4142;16,50;;;;;;;;6,00;;;7,00;;;;;;3,00;;;0,50
78122;2008;4143;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
176281;2010;4144;16,50;;;;;;;;6,00;;;;;;10,00;;;;;;0,50
169724;2009;4145;16,50;;;;;;;;6,00;;2,00;;7,00;;;;;;;;1,50
77685;2008;4146;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
100198;2009;4147;16,50;;;;;;;;6,00;3,00;;6,00;;;;;;;;;1,50
146082;2010;4148;16,50;;;;;;;;6,00;3,00;;7,00;;;;;;;;;0,50
81641;2008;4149;16,50;;;;;;;;3,00;8,00;;;;;;;;3,00;;;2,50
239476;2007;4150;16,50;;;;;;;;3,00;8,00;;;;;;;;3,00;;;2,50
174699;2009;4151;16,50;;;;;;;;3,00;6,00;;;;;6,00;;;;;;1,50
273165;2010;4152;16,50;;;;;;;;3,00;8,00;;5,00;;;;;;;;;0,50
183636;2009;4153;16,50;;;;;;;;3,00;6,00;;;;;6,00;;;;;;1,50
281222;2010;4154;16,50;;;;;;;;3,00;6,00;;;7,00;;;;;;;;0,50
255584;2007;4155;16,50;;;;;;;;3,00;3,00;;;;;;3,00;5,00;;;;2,50
11421;2008;4156;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
201290;2010;4157;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;2,00;;;0,50
77746;2008;4158;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
80281;2008;4159;16,50;;;;;6,00;;;3,00;;;5,00;;;;;;;;;2,50
133671;2010;4160;16,50;;;;5,00;;;;;3,00;;;;3,00;;;5,00;;;;0,50
72641;2007;4161;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
48350;2007;4162;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
33624;2007;4163;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
81076;2007;4164;16,00;;;;;;;;6,00;;;4,00;;;;;;3,00;;;3,00
68841;2007;4165;16,00;;;;;;;;6,00;;;7,00;;;;;;;;;3,00
64300;2007;4166;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
83582;2007;4167;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
74185;2007;4168;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
40444;2007;4169;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
46203;2007;4170;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
66308;2007;4171;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
56763;2007;4172;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
67832;2007;4173;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
59246;2007;4174;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
69117;2007;4175;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
71496;2007;4176;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
85526;2007;4177;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
59287;2007;4178;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
76858;2007;4179;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
51884;2007;4180;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
22169;2007;4181;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
58991;2007;4182;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
32473;2007;4183;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
34111;2007;4184;16,00;;;;;;;;6,00;;;;;;;;7,00;;;;3,00
63031;2007;4185;16,00;;;;;;;;6,00;;;;7,00;;;;;;;;3,00
41659;2007;4186;16,00;;;;;;;;3,00;6,00;2,00;;;;;;;2,00;;;3,00
43159;2007;4187;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
44141;2007;4188;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
59290;2007;4189;16,00;;;;;;;;3,00;;3,00;;7,00;;;;;;;;3,00
67845;2007;4190;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
73965;2007;4191;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
70121;2007;4192;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
50628;2007;4193;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
52471;2007;4194;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
56154;2007;4195;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
40236;2007;4196;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
37802;2007;4197;16,00;;;;;;;;3,00;;;;;;;;7,00;3,00;;;3,00
66076;2007;4198;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
31501;2007;4199;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
48559;2007;4200;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
42210;2007;4201;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
61341;2007;4202;16,00;;;;;;;;3,00;6,00;;4,00;;;;;;;;;3,00
72913;2007;4203;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
33664;2007;4204;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
55911;2007;4205;16,00;;;;;;;;3,00;8,00;2,00;;;;;;;;;;3,00
30215;2007;4206;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
43817;2007;4207;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
74295;2007;4208;16,00;;;;;;;;3,00;;;;;;;5,00;5,00;;;;3,00
49147;2007;4209;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
64987;2007;4210;16,00;;;;;;;;3,00;8,00;;;;;;;;2,00;;;3,00
51897;2007;4211;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
35048;2007;4212;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
82333;2007;4213;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
70797;2007;4214;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
85784;2007;4215;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
40385;2007;4216;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
37955;2007;4217;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
49861;2007;4218;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
82744;2007;4219;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
59447;2007;4220;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
30046;2007;4221;16,00;;;;;;;;3,00;6,00;;4,00;;;;;;;;;3,00
21697;2007;4222;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
64695;2007;4223;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
40896;2007;4224;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
73796;2007;4225;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
68781;2007;4226;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
85793;2007;4227;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
57198;2007;4228;16,00;;;;;;;;3,00;6,00;;4,00;;;;;;;;;3,00
51557;2007;4229;16,00;;;;;;;;3,00;;;;;10,00;;;;;;;3,00
50598;2007;4230;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
48057;2007;4231;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
83362;2007;4232;16,00;;;;;;;;3,00;6,00;;4,00;;;;;;;;;3,00
26292;2007;4233;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
30526;2007;4234;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
40301;2007;4235;16,00;;;;;;;;3,00;3,00;;5,00;;;;;;2,00;;;3,00
70562;2007;4236;16,00;;;;;;;;3,00;6,00;;4,00;;;;;;;;;3,00
69417;2007;4237;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
45560;2007;4238;16,00;;;;;;;;3,00;3,00;;;7,00;;;;;;;;3,00
58910;2007;4239;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
53935;2007;4240;16,00;;;;;;;;3,00;;;;7,00;;;;;3,00;;;3,00
81643;2007;4241;16,00;;;;;;;;;8,00;2,00;;;3,00;;;;;;;3,00
47846;2007;4242;16,00;;;;;;;;;;;;;3,00;;;7,00;3,00;;;3,00
45801;2007;4243;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
69111;2007;4244;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
51036;2007;4245;16,00;;;;;6,00;;;;;;;7,00;;;;;;;;3,00
46219;2007;4246;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
81858;2007;4247;16,00;;;;;;;;;6,00;;;7,00;;;;;;;;3,00
59554;2007;4248;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
