Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
NAVILE;NIDO D'INFANZIA;IL MAGGIOLINO CLUB;Privata convenzionata;;VIA PROCACCINI n.24/2;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;L'ISOLA DEI TESORI;Privata convenzionata;;VIA MARCO POLO n.60;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;L. MARSILI;Comunale;;VIA SANT'ANNA n.4;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;LE ALI DI ALICE (ex-NICOLO' DELL'ARCA);Privata convenzionata;;Via Nicolo' dell'Arca n.1;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;NUOVO CROCE COPERTA;Comunale;;VIA C.PORTA n.9;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;PHOEBIS 5 ;Privata convenzionata;;VIA DELLA BEVERARA n.58/14;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;PICCOLE INVENZIONI;Comunale;;VIA SALICETO n.5/4;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;POLLICINO;Comunale in concessione;;PIAZZA LIBER PARADISUS n.20;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;POLLICINO POSTI AZIENDALI COMUNALI;Privata convenzionata;;PIAZZA LIBER PARADISUS n.20;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;T.BOLZANI;Comunale;;VIA FLORA n.3;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;VIA DEL GROSSO TASSO;Comunale;;VIA ERBOSA n.18/4;BOLOGNA;BOLOGNA
NAVILE;PICCOLO GRUPPO EDUCATIVO;IL PARADISO DEI BAMBINI;Privata;;VIA DELLA DOZZA n.5/2;BOLOGNA;BOLOGNA
NAVILE;PICCOLO GRUPPO EDUCATIVO;LA CASINA DI WILLY;Privata;;VIA MARZIALE n.4;BOLOGNA;BOLOGNA
NAVILE;PICCOLO GRUPPO EDUCATIVO;LA CASINA DI WILLY 2;Privata;;VIA PAPINI n.16;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;ADA ZUCCHELLI;Comunale;QUARTIERE NAVILE;VIA DELLA CA' BIANCA n.13/2;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;ATTILIA NERI;Comunale;QUARTIERE NAVILE;VIA COLOMBAROLA n.38/6;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;BENEDETTO XV;Privata convenzionata;BENEDETTO XV;VIA BERTALIA n.65;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;CECCARELLI;Comunale;QUARTIERE NAVILE;VIA SALICETO n.8/2;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;COOP. AZZURRA COMUNALE;Comunale;QUARTIERE NAVILE;VIA BEVERARA n.188;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;COOP. AZZURRA STATALE;Statale;ISTITUTO COMPRENSIVO N. 3;VIA BEVERARA n.188;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;DOZZA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA DOZZA n.8;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;FEDERZONI;Comunale;QUARTIERE NAVILE;VIA DI VINCENZO n.11;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;FLORA (EX-ACRI);Comunale;QUARTIERE NAVILE;VIA FLORA n.7;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;GIROTONDO;Statale;ISTITUTO COMPRENSIVO N. 4;VIA PETTAZZONI n.1;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;GIUSI DEL MUGNAIO;Comunale;QUARTIERE NAVILE;VIA DI CORTICELLA n.147/2;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;GROSSO;Comunale;QUARTIERE NAVILE;VIA ERBOSA n.22;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;LANZARINI;Comunale;QUARTIERE NAVILE;VIA MARZIALE n.10;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;MARIA AUSILIATRICE;Privata convenzionata;MARIA AUSILIATRICE;VIA JACOPO DELLA QUERCIA n.5;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;MARIA GARAGNANI;Privata non paritaria;MARIA GARAGNANI;VIA DI VINCENZO n.37;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;MARIA MANZINI;Comunale;QUARTIERE NAVILE;PIAZZA GIOVANNI DA VERRAZZANO n.1;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;MARSILI;Comunale;QUARTIERE NAVILE;VIA COLOMBAROLA n.38/6;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;NUOVA SCUOLA INFANZIA NAVILE;Statale;ISTITUTO COMPRENSIVO N. 5;VIA C. DA BOLOGNA n.27/5;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;SACRO CUORE;Privata convenzionata;SACRO CUORE;VIA SAN SAVINO n.37;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;SANTA MARIA DI LEUCA;Privata non paritaria;SANTA MARIA DI LEUCA;VIA CIGNANI n.6;BOLOGNA;BOLOGNA
