CODVIA;DENOMINAZIONE
12820;VIA LUIGI CAPUANA
12830;VIA CARATON
12850;VIA CARAVAGGIO
12900;VIA CARBONARA
12930;PIAZZETTA DEI CARABINIERI
12950;VIA DE' CARBONESI
13000;VIA GIROLAMO CARDANO
13050;VIA DEL CARDO
13100;PIAZZA GIOSUE' CARDUCCI
13150;VIALE GIOSUE' CARDUCCI
13200;VICOLO CAREGA
13250;VIA GIAN GIACOMO CARISSIMI
13300;VIA CARLO CARLI
13350;VIA S.CARLO
13380;VIALE TITO CARNACINI
13400;VIA CA' ROSA
13450;VIA VITTORE CARPACCIO
13470;VIA FRATELLI CARPIGIANI
13480;VIA DEL CARPENTIERE
13500;VIA DE' CARRACCI
13550;VIA BALDASSARRE CARRATI
13600;VIA DEI CARRETTIERI
13650;VIA DEL CARRO
13700;VIA DEL CARROCCIO
13730;VIA DEL CARROZZAIO
13750;VIA DEL CARSO
13800;VIA CARTOLERIA
13850;VIA ENRICO CARUSO
13880;VIA DELLA CASA BUIA
13900;VIA DI CASAGLIA
13930;VIA ACHILLE CASANOVA
13950;VIA CAMILLO CASARINI
14000;VIA VINCENZO CASCIAROLO
14050;VICOLO CASE
14100;VIA CA' SELVATICA
14130;VIA TOMMASO CASINI
14150;VIA GIOVANNI CASONI
14200;VIA DELLE CASSE
14220;VIA GIOVANNI DOMENICO CASSINI
14230;VIA CASSINO
14250;VIA DE' CASTAGNOLI
14280;VIA CASTEL BOLOGNESE
14300;VIA CASTELDEBOLE
14350;VIA CASTELFIDARDO
14400;VIA CASTELLACCIO
14450;LOCALITA' CASTELL'ARIENTI
14500;VIA CASTELLATA
14550;VIA CASTELMERLO
14600;VIA CASTEL TIALTO
14650;LA CASTIGLIA
14680;PIAZZA LA VENETA
14700;VIA CASTIGLIONE
14750;MURA DI PORTA CASTIGLIONE
14800;PIAZZA DI PORTA CASTIGLIONE
14850;VIA ALFREDO CATALANI
14900;VIA PIETRO ANTONIO CATALDI
14950;VIA S.CATERINA
14970;VIA SANTA CATERINA DI QUARTO
15000;VIA CARLO CATTANEO
15050;VICOLO CATTANI
15100;VIA DELLA CAVA
15150;VIA CAVAIONI
15190;VIA BONAVENTURA CAVALIERI
15200;VIA ANTONIO CAVALIERI DUCATI
15230;VIA CAVALLINA
15250;VIA FELICE CAVALLOTTI
15300;VIA FRANCESCO CAVAZZA
15350;VIA FRANCESCO CAVAZZONI
15400;VIA CAVEDONE
15430;VIALE SERGIO CAVINA
15450;GALLERIA CAVOUR
15500;PIAZZA CAVOUR
15550;VIA DELLA CAVRIOLA
15580;VIA ANTON PAVLOVIC CECHOV
15600;PIAZZA DE' CELESTINI
15650;VIA BENVENUTO CELLINI
15680;VIA GIORGIO CENCETTI
15700;VIA GIUSEPPE CENERI
15730;VIA DELLA CENTRALINISTA
15750;VIA CENTOTRECENTO
15760;VIA DEL CERAMISTA
15770;VIA GIOVANNI CERBAI
15800;VIA DEL CERCHIO
15820;VIA GIUSEPPE CERI
15850;VIA CERODOLO
15900;VIA DELLA CERTOSA
15950;VIA MICHELE CERVANTES
15980;VIA ALESSANDRO CERVELLATI
16000;VIA FRATELLI CERVI
16010;VIA GINO CERVI
16030;VIA CESARE OTTAVIANO
16050;VIA EZIO CESARINI
16080;VIA CESENA
16100;VIA BARTOLOMEO CESI
16130;VIA DELLA CESOIA
16150;VIA DEL CESTELLO
16200;VIA LUIGI CHERUBINI
16250;VIA S.CHIARA
16300;VIA DE' CHIARI
16320;VIA GILDA CHIARI ALLEGRETTI
16330;VIA GIOVANNI CHIARINI
16350;VIA CHIESA CALAMOSCO
16400;VIA DEL CHIU'
16450;VIA CHIUDARE
16500;VIA CHIUSA
16550;VIA FEDERICO CHOPIN
16600;VIA GIACOMO CIAMICIAN
16620;VIA CICERUACCHIO
16630;VIA ANTONIO CICU
16650;VIA CARLO CIGNANI
16700;VIA FRANCESCO CILEA
16750;VIA CIMABUE
16800;VIA DOMENICO CIMAROSA
16850;VIA CINO DA PISTOIA
16900;VIA LEONETTO CIPRIANI
16930;VIA ALDO CIVIDALI
16950;VIA CLAVATURE
17000;VIA ALESSANDRO CODIVILLA
17050;VIA COL DI LANA
17100;VIA EDOARDO COLLAMARINI
17150;VIA COLLEGIO DI SPAGNA
17200;VIA DEI COLLI
17250;VIA CARLO COLLODI
17300;VIA COLOMBAROLA
17320;VIA ARTURO COLOMBI
