;;;;;;;;
Popolazione residente immigrata per sezione e luogo di immigrazione -  Maschi;;;;;;;;(a)
al 31 Dicembre 2010;;;;;;;;
Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
0330;8;5;;1;3;12;11;40
0331;18;7;3;2;;10;26;66
0332;25;8;6;1;11;23;24;98
0333;42;19;11;9;6;30;21;138
0334;28;6;2;3;2;16;11;68
0335;26;13;5;1;13;33;53;144
0336;26;10;3;4;6;31;41;121
0337;27;6;7;1;2;30;23;96
0338;19;2;2;2;6;19;15;65
0339;;;;;;;;
0340;19;9;6;4;1;19;7;65
0341;18;8;1;2;6;13;16;64
0342;17;3;1;1;2;17;16;57
0343;;;;;;;;
0344;3;;1;;1;;9;14
0345;7;;3;;;4;23;37
0346;;;;;;;;
0347;17;5;4;5;5;9;14;59
0348;21;9;5;2;4;24;16;81
0349;16;6;3;1;4;16;19;65
0350;8;6;1;;1;11;14;41
0351;16;4;3;;10;19;26;78
0352;24;4;2;3;11;25;7;76
0353;15;9;3;;3;7;5;42
0354;14;6;4;3;3;7;5;42
0355;7;3;1;2;5;15;4;37
0356;29;18;5;2;18;48;16;136
0357;30;4;4;3;6;24;19;90
0358;31;9;3;;11;21;16;91
0359;29;14;7;2;7;23;27;109
0360;32;8;3;1;6;22;12;84
0361;20;4;;1;2;11;28;66
0362;15;7;3;3;1;18;15;62
0363;2;1;;;;;3;6
0364;;;;;;;;
0365;;;;;1;1;;2
0366;8;;;;;4;3;15
0367;3;2;16;;3;;;24
0368;;;;;;;;
0369;3;;;;;2;2;7
0370;8;4;;1;2;3;17;35
0371;7;3;;1;;6;3;20
0372;;;;;;;;
0373;;;;;;;;
0374;;;;;;;;
0375;7;;;;1;1;5;14
0376;33;6;4;3;5;25;21;97
0377;13;2;1;2;;6;9;33
0378;39;3;5;1;1;12;14;75
0379;17;6;3;2;1;7;3;39
0380;12;3;1;;1;5;5;27
0381;8;;1;;;1;;10
0382;49;6;3;3;4;18;9;92
