Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
1908;1;7;;;1;;1;10
1909;12;5;4;2;3;2;2;30
1910;;1;;;;;;1
1911;6;;;;;;;6
1912;;;;;;;;
1913;6;3;2;;2;;4;17
1914;23;8;4;3;4;3;14;59
1915;;;;;;;;
1916;16;1;2;;;1;3;23
1917;12;5;2;3;3;3;4;32
1918;1;;;;;1;2;4
1919;8;2;;;;;2;12
1920;4;2;;;;;;6
1921;1;3;1;;1;;1;7
1922;1;;;;;1;;2
1923;1;1;;;;;1;3
1924;3;2;;;;1;2;8
1925;13;6;;2;3;2;5;31
1926;8;4;6;2;2;2;4;28
1927;;4;;;1;;1;6
1928;;;;;;;;
1929;;;;;;;1;1
1930;7;1;1;3;;2;;14
1931;4;;1;;2;6;3;16
1932;100;22;23;12;24;57;61;299
1933;90;32;22;15;23;60;40;282
1934;74;36;13;13;22;50;15;223
1935;69;30;13;24;25;40;47;248
1936;27;29;11;10;10;25;22;134
1937;97;44;28;26;40;83;51;369
1938;67;42;20;23;30;64;52;298
1939;49;18;13;19;27;57;36;219
1940;48;24;19;11;19;49;55;225
1941;45;23;17;18;17;61;20;201
1942;76;29;21;14;14;60;31;245
1943;53;18;14;7;14;43;15;164
1944;66;33;25;19;26;76;38;283
1945;76;44;22;20;22;59;36;279
1946;11;2;5;;4;5;3;30
1947;13;7;2;5;2;13;9;51
1948;11;13;5;1;6;1;8;45
1949;35;16;7;7;14;23;15;117
1950;53;19;15;9;22;24;18;160
1951;34;7;9;6;9;27;24;116
1952;12;2;1;;1;2;2;20
1953;4;3;;1;3;2;1;14
1954;;;;;;;;
1955;22;13;7;2;13;20;9;86
1956;50;18;14;11;19;17;41;170
1957;4;2;3;1;1;;3;14
1958;2;7;4;2;2;4;;21
1959;16;10;10;4;15;3;13;71
1960;3;;1;1;1;9;4;19
1961;1;;;1;3;;;5
1962;19;11;4;7;4;16;16;77
1963;;;;;;;;
1964;12;5;3;7;7;15;6;55
1965;14;1;4;;3;1;6;29
1966;7;1;2;1;1;6;2;20
1967;4;2;4;2;1;8;8;29
1968;29;11;3;7;11;13;7;81
1969;19;16;5;5;11;4;19;79
1970;22;9;5;1;3;8;7;55
1971;12;8;3;3;3;8;1;38
1972;21;13;3;7;4;19;8;75
1973;92;48;11;15;21;45;26;258
1974;63;27;15;6;17;32;33;193
1975;75;37;27;22;30;63;33;287
1976;4;1;2;;;4;;11
1977;23;7;5;;7;13;5;60
1978;64;24;5;8;11;46;56;214
1979;82;35;14;14;15;38;47;245
1980;74;24;25;21;26;44;48;262
1981;;;;;;;;
1982;71;35;18;12;20;50;60;266
1983;15;6;11;9;13;20;14;88
1984;56;22;12;13;9;26;33;171
1985;50;28;18;19;29;46;27;217
1986;61;25;7;9;17;67;31;217
1987;3;;;;;;;3
1988;48;28;11;17;13;25;23;165
1989;;;;2;3;2;4;11
1990;8;9;4;4;7;17;4;53
1991;23;13;5;4;3;11;11;70
1992;82;38;21;20;29;56;42;288
1993;20;8;3;3;8;14;13;69
1994;32;13;12;7;8;35;17;124
1995;21;9;5;7;9;21;17;89
1996;8;3;5;2;2;4;4;28
1997;6;1;2;1;2;9;4;25
1998;3;1;1;;2;;2;9
1999;3;1;;1;;;;5
2000;24;16;17;15;11;33;18;134
2001;5;3;1;;;3;5;17
2002;48;31;6;15;18;12;9;139
2003;5;1;;;3;;;9
2004;214;45;28;12;22;85;25;431
2005;16;2;1;3;1;6;;29
2006;105;45;21;17;26;55;35;304
2007;97;48;11;15;21;31;25;248
2008;133;42;6;10;23;30;8;252
2009;167;43;10;10;18;32;34;314
2010;107;40;9;9;25;29;14;233
2011;106;18;3;8;8;29;9;181
2012;109;37;10;5;10;58;31;260
2013;111;45;10;17;28;53;32;296
2014;132;55;10;18;21;17;14;267
2015;103;44;12;15;22;32;26;254
2016;77;26;5;8;17;24;12;169
2017;;;;;;;;
